name.x,date,year,word,n.x,total.x,idf.x,tf_idf.x,source.x,tf.x,name.y,n.y,total.y,idf.y,tf_idf.y,source.y,tf.y,sentiment
Unlikely Democrats,2016-09-19,2016,military,55,4861,1.3450253470092952,0.0152183489169947,APSA,0.011314544332441884,"Democracy, Elite Bias, and Redistribution in Latin America",4,4346,1.3450253470092952,0.0012379432554158263,PSQ,9.203865623561896e-4,security
Unlikely Democrats,2016-09-19,2016,military,55,4861,1.3450253470092952,0.0152183489169947,APSA,0.011314544332441884,Deterring Rational Fanatics,1,406,1.3450253470092952,0.0033128703128307764,PSQ,0.0024630541871921183,security
Unlikely Democrats,2016-09-19,2016,military,55,4861,1.3450253470092952,0.0152183489169947,APSA,0.011314544332441884,The Causes and Effects of International Treaties,1,2889,1.3450253470092952,4.6556779058819496e-4,PSQ,3.4614053305642093e-4,security
Unlikely Democrats,2016-09-19,2016,military,55,4861,1.3450253470092952,0.0152183489169947,APSA,0.011314544332441884,The Impact of Voter Fraud Claims on Voter Registration Reform Legislation,1,4182,1.3450253470092952,3.2162251243646466e-4,PSQ,2.3912003825920613e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,war,51,3584,1.0019741392900399,0.014258002540120544,APSA,0.014229910714285714,The Consequences of Forced State Failure in Iraq,45,4438,1.0019741392900399,0.01015971975395489,PSQ,0.010139702568724651,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,war,51,3584,1.0019741392900399,0.014258002540120544,APSA,0.014229910714285714,The Point Four Program and U.S. International Development Policy,27,5698,1.0019741392900399,0.00474785920688506,PSQ,0.004738504738504738,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,war,51,3584,1.0019741392900399,0.014258002540120544,APSA,0.014229910714285714,How the Economy and Partisanship Shaped the 2012 Presidential and Congressional Elections,2,5013,1.0019741392900399,3.9975030492321557e-4,PSQ,3.9896269698783165e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,war,51,3584,1.0019741392900399,0.014258002540120544,APSA,0.014229910714285714,The World Health Organization between North and South,1,357,1.0019741392900399,0.0028066502501121566,PSQ,0.0028011204481792717,security
Partisan Elites as Culprits? How Party Cues Shape Partisan Perceptual Gaps,2018-03-25,2018,economic,41,3651,0.5544699789820188,0.00622658700034587,APSA,0.011229800054779512,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",3,2713,0.5544699789820188,6.131256678754355e-4,PSQ,0.0011057869517139699,economic
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,war,40,3462,1.0019741392900399,0.011576824255228652,APSA,0.011554015020219527,Return to Cold War,14,309,1.0019741392900399,0.04539688656977527,PSQ,0.045307443365695796,security
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,war,40,3462,1.0019741392900399,0.011576824255228652,APSA,0.011554015020219527,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",4,2713,1.0019741392900399,0.0014772932389090156,PSQ,0.001474382602285293,security
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,poor,39,2619,1.1810223707390253,0.017586816517305072,APSA,0.014891179839633447,Political Engagement,1,2569,1.1810223707390253,4.5972065813118925e-4,PSQ,3.8925652004671076e-4,economic
Unlikely Democrats,2016-09-19,2016,democracy,36,4861,1.0066689835942475,0.007455273279035777,APSA,0.00740588356305287,"Democracy, Elite Bias, and Redistribution in Latin America",72,4346,1.0066689835942475,0.016677442894336363,PSQ,0.016566958122411414,moral
Unlikely Democrats,2016-09-19,2016,democracy,36,4861,1.0066689835942475,0.007455273279035777,APSA,0.00740588356305287,The Causes and Effects of International Treaties,5,2889,1.0066689835942475,0.0017422446929633913,PSQ,0.0017307026652821046,moral
Unlikely Democrats,2016-09-19,2016,democracy,36,4861,1.0066689835942475,0.007455273279035777,APSA,0.00740588356305287,"Who Governs? Presidents, Public Opinion, and Manipulation",2,314,1.0066689835942475,0.006411904354103487,PSQ,0.006369426751592357,moral
Unlikely Democrats,2016-09-19,2016,democracy,36,4861,1.0066689835942475,0.007455273279035777,APSA,0.00740588356305287,The Impact of Voter Fraud Claims on Voter Registration Reform Legislation,1,4182,1.0066689835942475,2.4071472587141262e-4,PSQ,2.3912003825920613e-4,moral
Monopoly Money,2014-09-11,2014,investment,30,4129,1.8330114788054632,0.01331807807318089,APSA,0.007265681763138775,Political Engagement,2,2569,1.8330114788054632,0.0014270233388909794,PSQ,7.785130400934215e-4,economic
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,income,23,2619,1.0450429964758627,0.009177544451678062,APSA,0.008781977854142803,Political Engagement,38,2569,1.0450429964758627,0.015458012404080493,PSQ,0.01479174776177501,economic
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,wars,22,3584,2.0153330355994177,0.012370905910487496,APSA,0.006138392857142857,The Bankruptcy of Liberalism and Conservatism,1,4462,2.0153330355994177,4.516658528909497e-4,PSQ,2.2411474675033618e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,wars,22,3584,2.0153330355994177,0.012370905910487496,APSA,0.006138392857142857,The Consequences of Forced State Failure in Iraq,1,4438,2.0153330355994177,4.5410839017562363e-4,PSQ,2.253267237494367e-4,security
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,tax,22,2619,1.6426577503142443,0.013798575985839397,APSA,0.008400152730049638,Political Engagement,4,2569,1.6426577503142443,0.0025576609580603257,PSQ,0.001557026080186843,economic
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,tax,22,2619,1.6426577503142443,0.013798575985839397,APSA,0.008400152730049638,The Constitution of Risk,1,315,1.6426577503142443,0.005214786508934109,PSQ,0.0031746031746031746,economic
Unlikely Democrats,2016-09-19,2016,democratic,21,4861,0.45888765330582776,0.001982439975194895,APSA,0.004320098745114174,"Democracy, Elite Bias, and Redistribution in Latin America",21,4346,0.45888765330582776,0.0022173586561027112,PSQ,0.0048320294523699955,moral
Unlikely Democrats,2016-09-19,2016,democratic,21,4861,0.45888765330582776,0.001982439975194895,APSA,0.004320098745114174,The Impact of Voter Fraud Claims on Voter Registration Reform Legislation,17,4182,0.45888765330582776,0.0018653969646578365,PSQ,0.0040650406504065045,moral
Unlikely Democrats,2016-09-19,2016,democratic,21,4861,0.45888765330582776,0.001982439975194895,APSA,0.004320098745114174,Decision Making in Using Assassinations in International Relations,2,5254,0.45888765330582776,1.7468125363754387e-4,PSQ,3.8066235249333843e-4,moral
Unlikely Democrats,2016-09-19,2016,democratic,21,4861,0.45888765330582776,0.001982439975194895,APSA,0.004320098745114174,The Causes and Effects of International Treaties,2,2889,0.45888765330582776,3.176792338565786e-4,PSQ,6.922810661128419e-4,moral
Unlikely Democrats,2016-09-19,2016,democratic,21,4861,0.45888765330582776,0.001982439975194895,APSA,0.004320098745114174,"Who Governs? Presidents, Public Opinion, and Manipulation",1,314,0.45888765330582776,0.0014614256474707891,PSQ,0.0031847133757961785,moral
"Disgust, Anxiety, and Political Learning in the Face of Threat",2018-03-25,2018,threat,20,3365,1.1291690091287698,0.006711257112206655,APSA,0.005943536404160475,John Adams and the Fear of American Oligarchy,2,308,1.1291690091287698,0.00733226629304396,PSQ,0.006493506493506494,security
"Disgust, Anxiety, and Political Learning in the Face of Threat",2018-03-25,2018,threat,20,3365,1.1291690091287698,0.006711257112206655,APSA,0.005943536404160475,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",2,2713,1.1291690091287698,8.324135710495907e-4,PSQ,7.371913011426465e-4,security
"Disgust, Anxiety, and Political Learning in the Face of Threat",2018-03-25,2018,threat,20,3365,1.1291690091287698,0.006711257112206655,APSA,0.005943536404160475,Return to Cold War,1,309,1.1291690091287698,0.003654268637957184,PSQ,0.003236245954692557,security
Unlikely Democrats,2016-09-19,2016,environment,20,4861,0.8663956630437925,0.003564680777797953,APSA,0.004114379757251594,The Causes and Effects of International Treaties,1,2889,0.8663956630437925,2.9989465664374956e-4,PSQ,3.4614053305642093e-4,environmental
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,budget,19,3584,1.7504904551174596,0.009279943818982068,APSA,0.005301339285714286,The Bankruptcy of Liberalism and Conservatism,2,4462,1.7504904551174596,7.846214500750603e-4,PSQ,4.4822949350067237e-4,economic
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,budget,19,3584,1.7504904551174596,0.009279943818982068,APSA,0.005301339285714286,How the Economy and Partisanship Shaped the 2012 Presidential and Congressional Elections,1,5013,1.7504904551174596,3.491901965125593e-4,PSQ,1.9948134849391582e-4,economic
Making Austerity Popular,2018-03-25,2018,economic,19,3368,0.5544699789820188,0.0031279482187227896,APSA,0.0056413301662707836,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",3,2713,0.5544699789820188,6.131256678754355e-4,PSQ,0.0011057869517139699,economic
Monopoly Money,2014-09-11,2014,economic,18,4129,0.5544699789820188,0.0024171614486985563,APSA,0.004359409057883265,Political Engagement,14,2569,0.5544699789820188,0.0030216347628447887,PSQ,0.005449591280653951,economic
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,democracy,17,3462,1.0066689835942475,0.00494320413665575,APSA,0.004910456383593298,John Adams and the Fear of American Oligarchy,2,308,1.0066689835942475,0.006536811581780828,PSQ,0.006493506493506494,moral
"Hawks, Doves, and Peace",2018-09-19,2018,peace,16,3483,1.8997028533041354,0.008726742937946072,APSA,0.004593741027849555,Bipolarity and the Future of U.S.‐China Relations,6,4818,1.8997028533041354,0.0023657569779628085,PSQ,0.0012453300124533001,security
Monopoly Money,2014-09-11,2014,business,16,4129,1.5096820676234446,0.005850063715663626,APSA,0.003875030273674013,Political Engagement,4,2569,1.5096820676234446,0.0023506143520801003,PSQ,0.001557026080186843,economic
Monopoly Money,2014-09-11,2014,business,16,4129,1.5096820676234446,0.005850063715663626,APSA,0.003875030273674013,Reflections on Judging,1,283,1.5096820676234446,0.005334565609976836,PSQ,0.0035335689045936395,economic
"Hawks, Doves, and Peace",2018-09-19,2018,military,15,3483,1.3450253470092952,0.005792529487550798,APSA,0.004306632213608958,Bipolarity and the Future of U.S.‐China Relations,26,4818,1.3450253470092952,0.007258335205944723,PSQ,0.005396430053964301,security
"Hawks, Doves, and Peace",2018-09-19,2018,military,15,3483,1.3450253470092952,0.005792529487550798,APSA,0.004306632213608958,America First? Explaining Continuity and Change in Trump's Foreign Policy,22,5055,1.3450253470092952,0.005853720600238278,PSQ,0.004352126607319486,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,cost,15,3584,0.9318889684044794,0.003900204945889283,APSA,0.004185267857142857,How the Economy and Partisanship Shaped the 2012 Presidential and Congressional Elections,3,5013,0.9318889684044794,5.57683404191789e-4,PSQ,5.984440454817474e-4,economic
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,cost,15,3584,0.9318889684044794,0.003900204945889283,APSA,0.004185267857142857,The Consequences of Forced State Failure in Iraq,3,4438,0.9318889684044794,6.29938464446471e-4,PSQ,6.759801712483101e-4,economic
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,cost,15,3584,0.9318889684044794,0.003900204945889283,APSA,0.004185267857142857,The Bankruptcy of Liberalism and Conservatism,2,4462,0.9318889684044794,4.1770012030680387e-4,PSQ,4.4822949350067237e-4,economic
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,cost,15,3584,0.9318889684044794,0.003900204945889283,APSA,0.004185267857142857,The Point Four Program and U.S. International Development Policy,1,5698,0.9318889684044794,1.6354667750166364e-4,PSQ,1.755001755001755e-4,economic
"Disgust, Anxiety, and Political Learning in the Face of Threat",2018-03-25,2018,health,14,3365,1.4097839143574584,0.005865371411888386,APSA,0.004160475482912333,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",1,2713,1.4097839143574584,5.19640219077574e-4,PSQ,3.6859565057132326e-4,environmental
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,peace,13,3584,1.8997028533041354,0.006890663251382188,APSA,0.003627232142857143,The Consequences of Forced State Failure in Iraq,12,4438,1.8997028533041354,0.0051366458403897305,PSQ,0.0027039206849932404,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,peace,13,3584,1.8997028533041354,0.006890663251382188,APSA,0.003627232142857143,The Point Four Program and U.S. International Development Policy,1,5698,1.8997028533041354,3.333981841530599e-4,PSQ,1.755001755001755e-4,security
Unlikely Democrats,2016-09-19,2016,cost,13,4861,0.9318889684044794,0.0024921943199461495,APSA,0.0026743468422135365,The Impact of Voter Fraud Claims on Voter Registration Reform Legislation,6,4182,0.9318889684044794,0.0013369999546692676,PSQ,0.0014347202295552368,economic
Unlikely Democrats,2016-09-19,2016,cost,13,4861,0.9318889684044794,0.0024921943199461495,APSA,0.0026743468422135365,Decision Making in Using Assassinations in International Relations,5,5254,0.9318889684044794,8.868376174385986e-4,PSQ,9.51655881233346e-4,economic
Unlikely Democrats,2016-09-19,2016,cost,13,4861,0.9318889684044794,0.0024921943199461495,APSA,0.0026743468422135365,Intelligence and the Iraq and Afghanistan Wars,2,4334,0.9318889684044794,4.3003644134955213e-4,PSQ,4.6146746654360867e-4,economic
Unlikely Democrats,2016-09-19,2016,cost,13,4861,0.9318889684044794,0.0024921943199461495,APSA,0.0026743468422135365,The Causes and Effects of International Treaties,2,2889,0.9318889684044794,6.451290885458494e-4,PSQ,6.922810661128419e-4,economic
Unlikely Democrats,2016-09-19,2016,cost,13,4861,0.9318889684044794,0.0024921943199461495,APSA,0.0026743468422135365,Deterring Rational Fanatics,1,406,0.9318889684044794,0.0022952930256267966,PSQ,0.0024630541871921183,economic
Using Bayesian Aldrich‐McKelvey Scaling to Study Citizens' Ideological Preferences and Perceptions,2014-09-11,2014,democratic,13,3051,0.45888765330582776,0.001955273514577437,APSA,0.0042608980662078005,Political Engagement,4,2569,0.45888765330582776,7.14500044072912e-4,PSQ,0.001557026080186843,moral
Using Bayesian Aldrich‐McKelvey Scaling to Study Citizens' Ideological Preferences and Perceptions,2014-09-11,2014,democratic,13,3051,0.45888765330582776,0.001955273514577437,APSA,0.0042608980662078005,American Umpire,2,319,0.45888765330582776,0.0028770385787199233,PSQ,0.006269592476489028,moral
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,economic,13,2619,0.5544699789820188,0.002752237390899673,APSA,0.004963726613211149,Political Engagement,14,2569,0.5544699789820188,0.0030216347628447887,PSQ,0.005449591280653951,economic
The Primacy of Race in the Geography of Income‐Based Voting,2015-03-13,2015,economic,12,3011,0.5544699789820188,0.0022097773987991448,APSA,0.003985386914646297,Vested Interests and Political Institutions,8,6092,0.5544699789820188,7.281286657675886e-4,PSQ,0.0013131976362442547,economic
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,rates,12,2619,0.9539649201036793,0.004370973287989367,APSA,0.004581901489117984,Political Engagement,9,2569,0.9539649201036793,0.0033420335854157704,PSQ,0.0035033086804203972,economic
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,peaceful,11,3044,2.536969575469624,0.009167761277978272,APSA,0.0036136662286465177,Did Bush Democratize the Middle East? The Effects of External–Internal Linkages,4,4735,2.536969575469624,0.002143163316130622,PSQ,8.447729672650475e-4,security
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,peaceful,11,3044,2.536969575469624,0.009167761277978272,APSA,0.0036136662286465177,Philosophical Pragmatism and the Constitutional Watershed of 1912,1,6044,2.536969575469624,4.197500952133726e-4,PSQ,1.6545334215751158e-4,security
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,peaceful,11,3044,2.536969575469624,0.009167761277978272,APSA,0.0036136662286465177,The India Lobby and the Nuclear Agreement with India,1,4976,2.536969575469624,5.098411526265321e-4,PSQ,2.0096463022508038e-4,security
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,democratic,9,3462,0.45888765330582776,0.0011929488387499856,APSA,0.0025996533795493936,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",5,2713,0.45888765330582776,8.457199655470471e-4,PSQ,0.0018429782528566164,moral
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,democratic,9,3462,0.45888765330582776,0.0011929488387499856,APSA,0.0025996533795493936,John Adams and the Fear of American Oligarchy,1,308,0.45888765330582776,0.0014898949782656747,PSQ,0.003246753246753247,moral
Sectarian Framing in the Syrian Civil War,2018-03-25,2018,democratic,9,3462,0.45888765330582776,0.0011929488387499856,APSA,0.0025996533795493936,"The Diversity Bargain and Other Dilemmas of Race, Admissions, and Meritocracy at Elite Universities",1,359,0.45888765330582776,0.0012782385885956205,PSQ,0.002785515320334262,moral
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,threat,9,3426,1.1291690091287698,0.0029662933689897633,APSA,0.002626970227670753,John Adams and the Fear of American Oligarchy,2,308,1.1291690091287698,0.00733226629304396,PSQ,0.006493506493506494,security
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,threat,9,3426,1.1291690091287698,0.0029662933689897633,APSA,0.002626970227670753,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",2,2713,1.1291690091287698,8.324135710495907e-4,PSQ,7.371913011426465e-4,security
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,threat,9,3426,1.1291690091287698,0.0029662933689897633,APSA,0.002626970227670753,Return to Cold War,1,309,1.1291690091287698,0.003654268637957184,PSQ,0.003236245954692557,security
The Primacy of Race in the Geography of Income‐Based Voting,2015-03-13,2015,poor,9,3011,1.1810223707390253,0.003530123326685894,APSA,0.0029890401859847225,Vested Interests and Political Institutions,4,6092,1.1810223707390253,7.754578928030369e-4,PSQ,6.565988181221273e-4,economic
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,revenue,9,2619,2.414367253377292,0.008296794685145333,APSA,0.003436426116838488,Political Engagement,1,2569,2.414367253377292,9.398081951643799e-4,PSQ,3.8925652004671076e-4,economic
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,conflict,8,3426,0.8891474200272084,0.0020762344892637672,APSA,0.002335084646818447,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",2,2713,0.8891474200272084,6.55471743477485e-4,PSQ,7.371913011426465e-4,security
The Primacy of Race in the Geography of Income‐Based Voting,2015-03-13,2015,democratic,8,3011,0.45888765330582776,0.0012192298991851951,APSA,0.002656924609764198,Vested Interests and Political Institutions,5,6092,0.45888765330582776,3.7663136351430383e-4,PSQ,8.207485226526593e-4,moral
Unlikely Democrats,2016-09-19,2016,business,8,4861,1.5096820676234446,0.002484562135566253,APSA,0.0016457519029006377,"Democracy, Elite Bias, and Redistribution in Latin America",1,4346,1.5096820676234446,3.473727721176817e-4,PSQ,2.300966405890474e-4,economic
Unlikely Democrats,2016-09-19,2016,business,8,4861,1.5096820676234446,0.002484562135566253,APSA,0.0016457519029006377,The Impact of Voter Fraud Claims on Voter Registration Reform Legislation,1,4182,1.5096820676234446,3.609952337693555e-4,PSQ,2.3912003825920613e-4,economic
Unlikely Democrats,2016-09-19,2016,future,8,4861,0.4110697789553349,6.76518870940687e-4,APSA,0.0016457519029006377,Decision Making in Using Assassinations in International Relations,12,5254,0.4110697789553349,9.388727345763264e-4,PSQ,0.0022839741149600305,moral
Unlikely Democrats,2016-09-19,2016,future,8,4861,0.4110697789553349,6.76518870940687e-4,APSA,0.0016457519029006377,The Causes and Effects of International Treaties,5,2889,0.4110697789553349,7.114395620549237e-4,PSQ,0.0017307026652821046,moral
Unlikely Democrats,2016-09-19,2016,future,8,4861,0.4110697789553349,6.76518870940687e-4,APSA,0.0016457519029006377,"Democracy, Elite Bias, and Redistribution in Latin America",3,4346,0.4110697789553349,2.8375732555591457e-4,PSQ,6.902899217671422e-4,moral
Unlikely Democrats,2016-09-19,2016,future,8,4861,0.4110697789553349,6.76518870940687e-4,APSA,0.0016457519029006377,Intelligence and the Iraq and Afghanistan Wars,3,4334,0.4110697789553349,2.8454299420073946e-4,PSQ,6.922011998154131e-4,moral
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,conflict,7,3044,0.8891474200272084,0.0020446885480257747,APSA,0.0022996057818659658,"Deficits, Debt, and the New Politics of Tax Policy",1,292,0.8891474200272084,0.0030450254110520832,PSQ,0.003424657534246575,security
How Governments Shape the Risk of Civil Violence,2013-12-17,2013,conflict,7,3044,0.8891474200272084,0.0020446885480257747,APSA,0.0022996057818659658,Philosophical Pragmatism and the Constitutional Watershed of 1912,1,6044,0.8891474200272084,1.4711241231423036e-4,PSQ,1.6545334215751158e-4,security
Ideologically Sophisticated Donors,2016-09-19,2016,energy,7,3418,2.34922795120633,0.004811174856186165,APSA,0.002047981275599766,The Causes and Effects of International Treaties,1,2889,2.34922795120633,8.131630153016028e-4,PSQ,3.4614053305642093e-4,economic
Ideologically Sophisticated Donors,2016-09-19,2016,income,7,3418,1.0450429964758627,0.002140228488979239,APSA,0.002047981275599766,"Democracy, Elite Bias, and Redistribution in Latin America",55,4346,1.0450429964758627,0.013225348551811424,PSQ,0.012655315232397607,economic
Ideologically Sophisticated Donors,2016-09-19,2016,income,7,3418,1.0450429964758627,0.002140228488979239,APSA,0.002047981275599766,The Impact of Voter Fraud Claims on Voter Registration Reform Legislation,3,4182,1.0450429964758627,7.496721638994712e-4,PSQ,7.173601147776184e-4,economic
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,rights,7,3426,1.0723061472342268,0.002190934918458724,APSA,0.0020431990659661413,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",4,2713,1.0723061472342268,0.001580989527805716,PSQ,0.001474382602285293,moral
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,war,7,3426,1.0019741392900399,0.0020472326255196378,APSA,0.0020431990659661413,Return to Cold War,14,309,1.0019741392900399,0.04539688656977527,PSQ,0.045307443365695796,security
"Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",2018-03-25,2018,war,7,3426,1.0019741392900399,0.0020472326255196378,APSA,0.0020431990659661413,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",4,2713,1.0019741392900399,0.0014772932389090156,PSQ,0.001474382602285293,security
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,war,7,2619,1.0019741392900399,0.002678052300507934,APSA,0.002672775868652157,Long Wars and the Constitution,17,277,1.0019741392900399,0.06149299771816129,PSQ,0.061371841155234655,security
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,war,7,2619,1.0019741392900399,0.002678052300507934,APSA,0.002672775868652157,American Umpire,6,319,1.0019741392900399,0.01884590857598821,PSQ,0.018808777429467086,security
When Do the Rich Vote Less Than the Poor and Why? Explaining Turnout Inequality across the World,2014-09-11,2014,war,7,2619,1.0019741392900399,0.002678052300507934,APSA,0.002672775868652157,Political Engagement,1,2569,1.0019741392900399,3.9002496663683914e-4,PSQ,3.8925652004671076e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,defense,6,3584,1.678860798978205,0.0028105928554322626,APSA,0.0016741071428571428,The Point Four Program and U.S. International Development Policy,5,5698,1.678860798978205,0.0014732018243051991,PSQ,8.775008775008775e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,defense,6,3584,1.678860798978205,0.0028105928554322626,APSA,0.0016741071428571428,The Consequences of Forced State Failure in Iraq,4,4438,1.678860798978205,0.0015131688138604821,PSQ,9.013068949977468e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,defense,6,3584,1.678860798978205,0.0028105928554322626,APSA,0.0016741071428571428,The Bankruptcy of Liberalism and Conservatism,3,4462,1.678860798978205,0.0011287723883762024,PSQ,6.723442402510085e-4,security
Interbranch Negotiations over Policies with Multiple Outcomes,2013-04-29,2013,defense,6,3584,1.678860798978205,0.0028105928554322626,APSA,0.0016741071428571428,How the Economy and Partisanship Shaped the 2012 Presidential and Congressional Elections,1,5013,1.678860798978205,3.3490141611374526e-4,PSQ,1.9948134849391582e-4,security
Partisan Elites as Culprits? How Party Cues Shape Partisan Perceptual Gaps,2018-03-25,2018,future,6,3651,0.4110697789553349,6.755460623752422e-4,APSA,0.0016433853738701725,"Latino Democrats, Latino Republicans and Interest in Country of Origin Politics",4,2713,0.4110697789553349,6.060741304170069e-4,PSQ,0.001474382602285293,moral
